종목명,개인,외국인,기관계,기관,,,,,,,기타법인
,,,,금융투자,보험,투신,은행,기타금융,연기금등,사모펀드,
아이에스이커머스,-4,,+3,+3,,,,,,,
아이에이,-567,+225,,,,,,,,,+327
아이엘사이언스,-98,+95,,,,,,,,,+5
아이엠,-70,+81,,,,,,,,,-10
아이엠이연이,-10,+2,,,,,,,,,+7
아이엠텍,,,,,,,,,,,
아이오케이,+40,-20,,,,,,,,,-11
아이진,-1407,+587,+3065,-29,,+735,+71,,,+2288,-2250
아이컴포넌트,+41,-57,+28,-5,,,,+35,,-1,
아이케이세미콘,+2,,,,,,,,,,-2
아이큐어,+67,-398,+485,+298,+23,+175,,,,-11,-72
아이톡시,,,,,,,,,,,
아이피몬스터,,,,,,,,,,,
아퓨어스,,,,,,,,,,,
안지오랩,,,,,,,,,,,
알에프세미,+1,-1,,,,,,,,,
알체라,-196,+282,-99,-99,,,,,,,+10
알톤스포츠,-53,+50,,,,,,,,,
알티캐스트,-49,+10,,,,,,,,,+37
알파홀딩스,-86,+82,+4,+1,,,,,+3,,+1
앙츠,,,,,,,,,,,
애니젠,-80,+90,,,,,,,,,
애드바이오텍,+46,,-46,,,,,,,-46,
액션스퀘어,+63,+71,,,,,,,,,-123
앤씨앤,-377,+374,,,,,,,,,+3
엄지하우스,,,,,,,,,,,
에브리봇,,,,,,,,,,,
에스디생명공학,+2,-5,-1,-1,,,,,,,+3
에스디시스템,,,,,,,,,,,
에스아이리소스,,,,,,,,,,,
에스알바이오텍,+7,,-7,,,,,,,-7,
에스앤더블류,,,,,,,,,,,
에스앤디,-7,,,,,,,,,,+7
에스에이티이엔지,,,,,,,,,,,
에스엔피제네틱스,,,,,,,,,,,
에스엘바이오닉스,+23,-23,,,,,,,,,
에스엘에스바이오,,,,,,,,,,,
에스엠비나,,,,,,,,,,,
에스와이,-338,+334,,,,,,,,,
에스제이켐,,,,,,,,,,,
에스제이케이,,,,,,,,,,,
에스케이씨에스,,,,,,,,,,,
에스코넥,+179,-183,-48,,,,,,,-48,+47
에스트래픽,+311,-279,,,,,,,,,-38
에스티오,+62,-42,-19,-16,,,,,,-3,
에스티큐브,+440,+20,-45,-44,,,,,+3,-4,-412
에쎈테크,-67,+67,,,,,,,,,
에이디칩스,+54,-54,,,,,,,,,-14
에이루트,+66,-48,,,,,,,,,-12
에이비온,+162,,-163,+4,,,,-167,,,-2
에이비프로바이오,+1906,-1858,+5,,,+4,,,,,-5
에이스캠퍼,,,,,,,,,,,
에이스테크,-1473,+999,+471,+19,,-44,,,+505,-9,+2
에이스토리,-660,-383,+1070,+136,+253,-2,,+19,+175,+489,-24
에이씨티,,,,,,,,,,,
에이아이비트,,,,,,,,,,,
에이원알폼,,,,,,,,,,,
에이치엔에스하이텍,-1,,,,,,,,,,-1
에이치엔티,,,,,,,,,,,
에이치엘비제약,+423,-420,+51,-7,,+57,,,,,-273
에이치엘비생명과학,+754,-672,-35,+16,,,,,-44,-7,-55
에이치엘비,-516,+572,-107,+34,-3,,,,-90,-48,+18
에이치엘비파워,+85,-191,-13,,,,,-4,-9,,+123
에이치케이,-19,+37,-19,-15,,,,,,-3,
에이테크솔루션,-53,+53,,,,,,,,,
에이티넘인베스트,-368,+644,-286,-45,,,,,-240,,-13
에이티세미콘,,,,,,,,,,,
에이팸,,,,,,,,,,,
에이펙스인텍,-1,,+1,+1,,,,,,,
에치에프알,-82,+95,+1,+1,,,,,,,-14
에코마이스터,-47,+47,,,,,,,,,
에프알텍,-93,+82,,,,,,,,,+1
에프앤리퍼블릭,+7,-7,,,,,,,,,
엑세스바이오,-1457,+1009,+2,,+2,,,,,,+505
엑스큐어,,,,,,,,,,,
엔솔바이오사이언스,-2,,,,,,,,,,
엔시트론,-9,+4,,,,,,,,,+5
엔에스엔,-54,+55,,,,,,,,,
엔에스엠,,,,,,,,,,,
엔에스컴퍼니,,,,,,,,,,,
엔지브이아이,+1,,-1,-1,,,,,,,
엔지스테크널러지,,,,,,,,,,,
엔지켐생명과학,-6603,+3572,+4147,+1207,+524,+748,,+35,+785,+847,-566
엔케이맥스,+183,+11,-59,+7,,,,,-80,+15,-109
엔투텍,+197,+267,+36,+32,,+4,,,,,-527
엘디티,-3,-2,+5,+4,,,,,,+1,
엘리비젼,,,,,,,,,,,
엘아이에스,+10,+5,,,,,,,,,-13
엘앤케이바이오,+750,-93,-882,-1,,-91,,,,-791,+66
엘에이티,,,,,,,,,,,
엘컴텍,-40,+41,,,,,,,,,
엠로,-17,+17,,,,,,,,,
엠앤씨생명과학,,,,,,,,,,,
엠젠플러스,,,,,,,,,,,
영신금속,+725,-585,-12,,,,,,,-12,-119
예림당,-45,+45,,,,,,,,,
예스티,-842,+1,+890,+160,,+306,,,,+425,-42
오리엔트정공,-149,+139,,,,,,,,,
오션스톤,,,,,,,,,,,
오스테오닉,-174,+172,,,,,,,,,
올리패스,-342,+434,-86,-86,,,,,,,-7
올릭스,-451,+34,+206,+1,+26,-446,,,+607,+18,+211
와이오엠,+124,-233,+47,+45,,,,,,+2,+49
와이지-원,-279,+4,+257,,,+63,,+107,+88,,+19
우리기술투자,-5484,+8901,-3627,-115,,-437,,,,-3075,+136
우리기술,-115,+129,,,,,,,,,-1
우리로,,,,,,,,,,,
우정바이오,-242,+242,,,,,,,,,
우진비앤지,+196,+3,-167,-167,,,,,,,-32
원바이오젠,-11,+10,,,,,,,,,
원익큐브,-2449,+1768,+665,-105,,+770,,,,,+36
원익,-119,+119,,,,,,,,,
원텍,-4,,-21,-21,,,,,,,+26
원포유,,,,,,,,,,,
원풍물산,+26,-26,,,,,,,,,
웨이브일렉트로,+44,-44,,,,,,,,,
웹스,-93,+6,-4,,,,,,,-4,+91
위니아딤채,-618,-103,+681,-85,+616,+100,,,,+50,+52
위메이드맥스,-19,+24,,,,,,,,,
위월드,,,,,,,,,,,
위즈코프,-499,+63,+501,,,+520,,,,-19,-52
위지트,-6,-71,+37,,,+4,,,,+33,+27
