종목명,개인,외국인,기관계,기관,,,,,,,기타법인
,,,,금융투자,보험,투신,은행,기타금융,연기금등,사모펀드,
아리온,,,,,,,,,,,
아스타,-3333,+3333,,,,,,,,,
아스트,-3586,+3520,-1,-1,,,,,,,+57
아우딘퓨쳐스,-55938,-63095,+98033,,,+75226,,,+22807,,+21000
아이비김영,+33071,-26820,+139,-1800,,,,,,+1939,+3929
아이씨케이,+796,-2433,+1637,+1637,,,,,,,
아이에스이커머스,-923,,+842,+842,,,,,,,+81
아이에이,-383928,+152427,+29,+29,,,,,,,+221500
아이엘사이언스,-26888,+26182,,,,,,,,,+1306
아이엠,-31318,+36975,,,,,,,,,-5257
아이엠이연이,-2808,+1018,,,,,,,,,+1500
아이엠텍,,,,,,,,,,,
아이오케이,+11712,-5556,,,,,,,,,-3400
아이진,-50970,+23316,+105325,-1100,,+25146,+2485,,,+78794,-77831
아이컴포넌트,+6553,-8860,+4307,-812,,,,+5320,,-201,
아이케이세미콘,+299,,,,,,,,,,-299
아이큐어,-1081,-5520,+9356,+5702,+441,+3425,,,,-212,-1283
아이톡시,,,,,,,,,,,
아이피몬스터,,,,,,,,,,,
아퓨어스,,,,,,,,,,,
안지오랩,,,,,,,,,,,
알에프세미,+277,-277,,,,,,,,,
알체라,-6414,+9158,-3200,-3200,,,,,,,+318
알톤스포츠,-8504,+8004,,,,,,,,,
알티캐스트,-19881,+4281,,,,,,,,,+15000
알파홀딩스,-18434,+17434,+782,+182,,,,,+600,,+200
앙츠,,,,,,,,,,,
애니젠,-5015,+5665,,,,,,,,,
애드바이오텍,+1627,,-1627,,,,,,,-1627,
액션스퀘어,+16755,+27264,,,,,,,,,-40477
앤씨앤,-70506,+69942,,,,,,,,,+510
엄지하우스,,,,,,,,,,,
에브리봇,,,,,,,,,,,
에스디생명공학,+488,-1067,-121,-121,,,,,,,+700
에스디시스템,,,,,,,,,,,
에스아이리소스,,,,,,,,,,,
에스알바이오텍,+1028,,-1028,,,,,,,-1028,
에스앤더블류,,,,,,,,,,,
에스앤디,-240,,,,,,,,,,+240
에스에이티이엔지,,,,,,,,,,,
에스엔피제네틱스,,,,,,,,,,,
에스엘바이오닉스,+17537,-18193,,,,,,,,,
에스엘에스바이오,-2,,,,,,,,,,+2
에스엠비나,,,,,,,,,,,
에스와이,-84981,+83921,,,,,,,,,
에스제이켐,,,,,,,,,,,
에스제이케이,,,,,,,,,,,
에스케이씨에스,,,,,,,,,,,
에스코넥,+74827,-76724,-20208,,,,,,,-20208,+20000
에스트래픽,+39847,-35593,,,,,,,,,-5034
에스티오,+21661,-14728,-6831,-5634,,,,,,-1197,-32
에스티큐브,+50929,+2318,-5098,-5014,,,,,+370,-454,-47851
에쎈테크,-52030,+52030,,,,,,,,,
에이디칩스,+32058,-32269,,,,,,,,,-8699
에이루트,+10287,-7425,,,,,,,,,-1787
에이비온,+12267,,-12300,+300,,,,-12600,,,-172
에이비프로바이오,+1507302,-1471244,+3696,+111,,+3585,,,,,-4566
에이스캠퍼,,,,,,,,,,,
에이스테크,-74464,+50502,+23789,+946,,-2218,,,+25534,-473,+102
에이스토리,-15388,-9013,+25016,+3172,+5933,-49,,+455,+4077,+11428,-562
에이씨티,,,,,,,,,,,
에이아이비트,,,,,,,,,,,
에이원알폼,,,,,,,,,,,
에이치엔에스하이텍,-63,,,,,,,,,,-80
에이치엔티,,,,,,,,,,,
에이치엘비제약,+25140,-25019,+3035,-394,,+3429,,,,,-16099
에이치엘비생명과학,+68283,-60837,-3229,+1410,,,,,-4045,-594,-4998
에이치엘비,-14903,+16579,-3172,+928,-83,,,,-2629,-1388,+534
에이치엘비파워,+45557,-128694,-10000,,,,,-3000,-7000,,+96624
에이치케이,-9248,+18412,-9164,-7527,,,,,,-1637,
에이테크솔루션,-3126,+3126,,,,,,,,,
에이티넘인베스트,-74553,+128014,-55350,-8780,,,,,-46570,,-2566
에이티세미콘,,,,,,,,,,,
에이팸,,,,,,,,,,,
에이펙스인텍,-99,,+99,+99,,,,,,,
에치에프알,-3725,+4301,+39,+39,,,,,,,-650
에코마이스터,-30231,+30231,,,,,,,,,
에프알텍,-18707,+16522,+85,+85,,,,,,,+200
에프앤리퍼블릭,+22681,-22681,,,,,,,,,
엑세스바이오,-76840,+53489,+111,,+111,,,,,,+26177
엑스큐어,,,,,,,,,,,
