종목명,개인,외국인,기관계,기관,,,,,,,기타법인
,,,,금융투자,보험,투신,은행,기타금융,연기금등,사모펀드,
KODEX 헬스케어,+18382,+6,-19419,-18409,,,-1010,,,,+1031
KOSEF 200TR,+155,+18,-173,-283,,+110,,,,,
KOSEF 200,+42,-397,+355,-30775,,+31130,,,,,
KOSEF 200선물인버스,+7,,-7,-9,,+2,,,,,
KOSEF Fn중소형,-531,,+531,+481,,+50,,,,,
KOSEF KRX100,+12,,-12,-62,,+50,,,,,
KOSEF 국고채10년,+432,+12,-455,+2545,-3000,,,,,,+1
KOSEF 국고채3년,+1,,-1,-1,,,,,,,
KOSEF 단기자금,-2346,,+2346,+2346,,,,,,,
KOSEF 미국달러선물,-3508,,+3478,-721,,+2,+4197,,,,+30
KOSEF 미국달러선물인버스,-192,,+192,-60,,+252,,,,,
KOSEF 블루칩,-374,,+374,+324,,+50,,,,,
KOSEF 인도Nifty50(합성),+895,-151,-744,-3542,,,+2798,,,,
KOSEF 코스닥150선물인버스,-12,,+12,+10,,+2,,,,,
KOSEF 코스닥150,+1365,,-937,-987,,+50,,,,,
KOSEF 코스피100,+8,,-8,-58,,+50,,,,,
KOSEF 통안채1년,-823,,+823,-9123,,+9946,,,,,
KPX케미칼,+356,-560,+231,+250,,-19,,,,,-27
KPX홀딩스,+692,-670,+255,+209,,,,,,+46,-287
KT&G,-669,-15710,+18910,+12852,+7660,+4361,+105,,-6654,+586,-2444
KTB투자증권,-84834,+66768,+18004,+11,-7,+18000,,,,,+200
LG상사,+25445,-4611,-20514,+1517,-86,-11274,,,-10699,+28,-3
LG유플러스,-44765,+89522,-24450,+35284,-908,+1938,+1068,,-65343,+3511,-62245
LF,+19966,-2961,-16810,+15264,-8713,,-416,+5230,-28175,,-209
LS네트웍스,+1563,-1737,-427,+12,,,,-439,,,+595
LS,+2062,-11530,+12944,+946,+4651,-1506,,+704,+8683,-534,-457
LG하우시스,+12797,-6268,-6585,+721,-2745,-2270,,,-3089,+798,+12
LG,-39996,+36541,+871,-20431,-2848,+2563,,+277,-10130,+31440,+2433
LG디스플레이,-1501884,+1070971,+471586,-16788,+34424,+214229,,+1745,+206069,+31907,-26794
LG이노텍,-16209,+3567,+12431,+91,-239,-2436,,+213,+17324,-2522,+74
LG생활건강,-48305,+42466,+6026,+1529,-377,+1051,+111,+75,+3016,+621,-4
LG생활건강우,-10035,+5164,+4831,+1,-3,+2313,,,+2519,+1,+75
LG우,+15517,-15456,+18,+418,,,,-400,,,-79
LG전자,-85644,+74657,+6730,+18125,-3814,-1832,,+775,-5442,-1082,+2220
LG전자우,-347,-4415,+4801,+4874,-25,-48,,,,,+13
LG화학우,+2300,-2346,+899,+119,-2,-37,,,+194,+625,-840
LG화학,-24156,-7310,+34341,+12415,+11747,+358,+45,+558,+4170,+5048,-2647
LIG넥스원,+17009,+8047,-28668,-3090,-14,+3513,,+1242,-31225,+906,+4311
LS ELECTRIC,+42098,+10640,-50203,+148,-1056,-1076,-457,+522,-48284,,-2524
NH투자증권우,+2193,+15188,-6874,+2207,,-10000,,,-771,+1690,
NH투자증권,-407612,+202646,+206397,+19706,-81,+119814,,-913,+59871,+8000,+2580
OCI,-72730,+21561,+48717,+27170,+8367,+2014,,+590,+30623,-20047,+1324
POSCO,-23031,+7510,+14838,+1349,+845,-2551,-126,+302,+14383,+636,+463
QV S&P500 VIX S/T 선물 ETN B,,,,,,,,,,,
SBS,+14300,,+10752,-6727,-7046,+5909,,,+18344,+272,-25672
SGC에너지,+1528,-18139,+15998,+4750,+368,+3064,,,+6701,+1115,+607
SK가스,-188,-408,+605,+340,-9,+274,,,,,-9
SK디스커버리우,+318,-136,,,,,,,,,
SK디스커버리,-1102,+5310,-3943,-15,-1376,-2163,,,-389,,-244
SK이노베이션우,+1100,+1025,-1074,-525,,-395,,,-154,,-910
SK이노베이션,-108627,+118429,-9256,-20439,+12289,+22204,-815,+181,-29105,+6429,+179
SK케미칼,-5234,-4601,+11166,+87,+1274,+410,,,+9395,,-1073
SKC,-18811,-7683,+26791,+8856,+1278,+3766,-257,,+13997,-849,-120
SK케미칼우,+172,+330,,,,,,,,,-489
SK하이닉스,+784852,-377077,-416222,-203953,-47541,-64482,-2003,+883,+30795,-129921,+12545
SMART 200TR,+1,,-1,-1001,,+1000,,,,,
SMART KIS단기통안채,+1,,-1,-1,,,,,,,
SMART KRX300,+3,-7,+4,-335,,+339,,,,,
SNT모티브,+43814,-37014,-6378,-1231,-11,+50,-88,,-5098,,-428
SPC삼립,-137,-118,+118,+161,-3,-47,,,-9,+16,+139
TIGER 200 IT,-9770,-1273,+11018,-78728,,+6022,+113724,,-30000,,
TIGER 200 건설,+45308,,-79810,-840568,,,+760758,,,,+35000
TIGER 200 경기소비재,+679,,-679,-679,,,,,,,
TIGER 200 에너지화학,-3072,,+417,-8288,,+8705,,,,,+2655
TIGER 200 중공업,-15834,,+15764,-696896,,,+12660,,+700000,,
TIGER 200,-22966,+60298,-37297,+36540,-32080,-33060,,,-4197,-4500,-37
TIGER 200 헬스케어,-1572,+231,+1323,+1323,,,,,,,+18
TIGER 200 금융,+99,+206,-506,-506,,,,,,,+1
TIGER 200TR,-203,-50,+203,-973,,,+1176,,,,
TIGER 200커뮤니케이션서비스,-34,,+34,+34,,,,,,,
TIGER 2차전지테마,-59014,-22553,+77815,+70885,,+94,+14896,,,-8060,+3773
TIGER CD금리투자KIS(합성),-113,,+113,+1113,,,,,-1000,,
TIGER KIS부동산인프라채권TR,+1024,,-31554,-74912,,,,,,+43358,+30530
TIGER KRX BBIG K-뉴딜,-31357,-1405,+32399,-37502,,+7,+69894,,,,+1
TIGER KRX2차전지K-뉴딜,-163353,+239,+167533,+13810,,+4573,+79150,,+70000,,-2786
TIGER KRX300,+1,,-1,-1,,,,,,,
TIGER KRX게임K-뉴딜,+891,,-891,-900,,,+9,,,,
TIGER KRX바이오K-뉴딜,+11172,+3618,-14801,-15837,,,+1036,,,,+1
TIGER KRX인터넷K-뉴딜,+5770,,-5770,-5770,,,,,,,
TIGER KTOP30,-39,,+36,+36,,,,,,,+2
TIGER LG그룹+펀더멘털,-21458,,+21532,+16045,,,+5487,,,,
TIGER MSCI KOREA ESG유니버설,+82,,-82,-82,,,,,,,
TIGER MSCI Korea TR,-794,,+794,+794,,,,,,,
TIGER S&P글로벌헬스케어(합성),+249,,-252,+965,,,-1217,,,,
TIGER TOP10,+8854,,+12571,-132026,-12030,-40300,+196927,,,,-20998
TIGER 가격조정,+1,,-1,-2243,,+2242,,,,,
TIGER 경기방어채권혼합,-8,,+8,+1769,,,-1761,,,,
TIGER 경기방어,-252,,+252,+7958,,,-7706,,,,
TIGER 골드선물(H),+6540,+17,-6557,-9435,,+2878,,,,,
TIGER 구리실물,-3284,,+3537,+1659,,,+1878,,,,-240
TIGER 국채3년,+151,,-151,-151,,,,,,,
TIGER 글로벌4차산업혁신기술(합성 H),-7255,+82,+7143,+1026,,+423,+5694,,,,+28
TIGER 글로벌자원생산기업(합성 H),-249,,+249,+249,,,,,,,
TIGER 금은선물(H),+7478,-4217,-3262,-3262,,,,,,,
TIGER 농산물선물Enhanced(H),-49670,+5888,+42989,+46989,,,,-4000,,,+743
TIGER 단기선진하이일드(합성 H),+43,,-43,-7,,,-36,,,,
TIGER 단기채권액티브,+560,,-560,-560,,,,,,,
TIGER 단기통안채,-97,,+91,+91,,,,,,,
TIGER 대형가치,-30,,+20,+20,,,,,,,
TIGER 대형성장,-52,,+52,+52,,,,,,,
TIGER 라틴35,-2510,,+2510,+2510,,,,,,,
TIGER 로우볼,+518,,-518,-5162,-324,+4968,,,,,
TIGER 모멘텀,-78,,+78,-465,,+2613,-2070,,,,
TIGER 미국MSCI리츠(합성 H),+6684,-10323,+3639,+30,+1100,+2509,,,,,
TIGER 미국S&P500,+159753,,-162253,-90732,,-80000,+8479,,,,+110
TIGER 미국S&P500선물인버스(H),+30644,,-30644,-30644,,,,,,,
TIGER 미국S&P500선물(H),-4555,-15,+4566,-17440,,+2215,+19791,,,,+3
TIGER 미국나스닥100,+38582,-12,-38638,-48590,+3400,-58,+6610,,,,-45
TIGER 미국나스닥바이오,-1907,-9,+1816,+2372,,,-556,,,,
TIGER 미국다우존스30,+7394,-196,-7239,-7239,,,,,,,-5
TIGER 미국달러단기채권액티브,-1582,,+582,+582,,,,,,,+1000
